ISO,Year,PGC_Waste
BTN,2003,623.8608562
BTN,2004,623.8608562
BTN,2005,623.8608562
BTN,2006,623.8608562
BTN,2007,623.8608562
BTN,2008,623.8608562
BTN,2009,623.8608562
BTN,2010,623.8608562
BTN,2011,623.8608562
BTN,2012,623.8608562
BTN,2013,623.8608562
BTN,2014,623.8608562
BTN,2015,623.8608562
BTN,2016,623.8608562
BTN,2017,632.5583201
BTN,2018,632.5583201
BTN,2019,649.1991454
BWA,2000,372.3918418
BWA,2001,372.3918418
BWA,2002,372.3918418
BWA,2003,372.3918418
BWA,2004,372.3918418
BWA,2005,372.3918418
BWA,2006,372.3918418
BWA,2007,372.3918418
BWA,2008,372.3918418
BWA,2009,372.3918418
BWA,2010,372.3918418
BWA,2011,372.3918418
BWA,2012,372.3918418
BWA,2013,372.3918418
BWA,2014,372.3918418
BWA,2015,372.3918418
BWA,2016,372.3918418
BWA,2017,564.7062848
BWA,2018,564.7062848
BWA,2019,310.2154381
CAF,2000,1254.958495
CAF,2001,1254.958495
CAF,2002,1254.958495
CAF,2003,1254.958495
CAF,2004,1254.958495
CAF,2005,1254.958495
CAF,2006,1254.958495
CAF,2007,1254.958495
CAF,2008,1254.958495
CAF,2009,1254.958495
CAF,2010,1254.958495
CAF,2011,1254.958495
CAF,2012,1254.958495
CAF,2013,1254.958495
CAF,2014,1254.958495
CAF,2015,1254.958495
CAF,2016,1254.958495
CAF,2017,1249.594294
CAF,2018,1249.594294
CAF,2019,1263.064853
CAN,2000,272.5131571
CAN,2001,272.5131571
CAN,2002,272.5131571
CAN,2003,272.5131571
CAN,2004,272.5131571
CAN,2005,272.5131571
CAN,2006,272.5131571
CAN,2007,272.5131571
CAN,2008,272.5131571
CAN,2009,272.5131571
CAN,2010,272.5131571
CAN,2011,272.5131571
CAN,2012,272.5131571
CAN,2013,272.5131571
CAN,2014,272.5131571
CAN,2015,272.5131571
CAN,2016,272.5131571
CAN,2017,268.1318699
CAN,2018,268.1318699
CAN,2019,293.8259811
CHE,2000,347.579571
CHE,2001,347.579571
CHE,2002,347.579571
CHE,2003,347.579571
CHE,2004,347.579571
CHE,2005,347.579571
CHE,2006,347.579571
CHE,2007,347.579571
CHE,2008,347.579571
CHE,2009,347.579571
CHE,2010,347.579571
CHE,2011,347.579571
CHE,2012,347.579571
CHE,2013,347.579571
CHE,2014,347.579571
CHE,2015,347.579571
CHE,2016,347.579571
CHE,2017,341.1906833
CHE,2018,341.1906833
CHE,2019,329.2460227
CHL,2000,246.8369228
CHL,2001,246.8369228
CHL,2002,246.8369228
CHL,2003,246.8369228
CHL,2004,246.8369228
CHL,2005,246.8369228
CHL,2006,246.8369228
CHL,2007,246.8369228
CHL,2008,246.8369228
CHL,2009,246.8369228
CHL,2010,246.8369228
CHL,2011,246.8369228
CHL,2012,246.8369228
CHL,2013,246.8369228
CHL,2014,246.8369228
CHL,2015,246.8369228
CHL,2016,246.8369228
CHL,2017,243.0614516
CHL,2018,243.0614516
CHL,2019,228.681146
CIV,2000,1278.907094
CIV,2001,1278.907094
CIV,2002,1278.907094
CIV,2003,1278.907094
CIV,2004,1278.907094
CIV,2005,1278.907094
CIV,2006,1278.907094
CIV,2007,1278.907094
CIV,2008,1278.907094
CIV,2009,1278.907094
CIV,2010,1278.907094
CIV,2011,1278.907094
CIV,2012,1278.907094
CIV,2013,1278.907094
CIV,2014,1278.907094
CIV,2015,1278.907094
CIV,2016,1278.907094
CIV,2017,1208.391122
CIV,2018,1208.391122
CIV,2019,1209.094906
CMR,2000,1171.607648
CMR,2001,1171.607648
CMR,2002,1171.607648
CMR,2003,1171.607648
CMR,2004,1171.607648
CMR,2005,1171.607648
CMR,2006,1171.607648
CMR,2007,1171.607648
CMR,2008,1171.607648
CMR,2009,1171.607648
CMR,2010,1171.607648
CMR,2011,1171.607648
CMR,2012,1171.607648
CMR,2013,1171.607648
CMR,2014,1171.607648
CMR,2015,1171.607648
CMR,2016,1171.607648
CMR,2017,1157.253865
CMR,2018,1157.253865
CMR,2019,1175.041755
COD,2000,1226.135514
COD,2001,1226.135514
COD,2002,1226.135514
COD,2003,1226.135514
COD,2004,1226.135514
COD,2005,1226.135514
COD,2006,1226.135514
COD,2007,1226.135514
COD,2008,1226.135514
COD,2009,1226.135514
COD,2010,1226.135514
COD,2011,1226.135514
COD,2012,1226.135514
COD,2013,1226.135514
COD,2014,1226.135514
COD,2015,1226.135514
COD,2016,1226.135514
COD,2017,1205.935703
COD,2018,1205.935703
COD,2019,1211.53171
COG,2000,1102.47762
COG,2001,1102.47762
COG,2002,1102.47762
COG,2003,1102.47762
COG,2004,1102.47762
COG,2005,1102.47762
COG,2006,1102.47762
COG,2007,1102.47762
COG,2008,1102.47762
COG,2009,1102.47762
COG,2010,1102.47762
COG,2011,1102.47762
COG,2012,1102.47762
COG,2013,1102.47762
COG,2014,1102.47762
COG,2015,1102.47762
COG,2016,1102.47762
COG,2017,1099.621266
COG,2018,1099.621266
COG,2019,1100.653416
COK,2000,1659.956522
COK,2001,1659.956522
COK,2002,1659.956522
COK,2003,1659.956522
COK,2004,1659.956522
COK,2005,1659.956522
COK,2006,1659.956522
COK,2007,1659.956522
COK,2008,1659.956522
COK,2009,1659.956522
COK,2010,1659.956522
COK,2011,1659.956522
COK,2012,1659.956522
COK,2013,1659.956522
COK,2014,1659.956522
COK,2015,1659.956522
COK,2016,1659.956522
COK,2017,1651.571429
COK,2018,1651.571429
COK,2019,1685.342857
COL,2000,1044.329027
COL,2001,1044.329027
COL,2002,1044.329027
COL,2003,1044.329027
COL,2004,1044.329027
COL,2005,1044.329027
COL,2006,1044.329027
COL,2007,1044.329027
COL,2008,1044.329027
COL,2009,1044.329027
COL,2010,1044.329027
COL,2011,1044.329027
COL,2012,1044.329027
COL,2013,1044.329027
COL,2014,1044.329027
COL,2015,1044.329027
COL,2016,1044.329027
COL,2017,1059.082947
COL,2018,1059.082947
COL,2019,1038.58577
COM,2000,1343.485485
COM,2001,1343.485485
COM,2002,1343.485485
COM,2003,1343.485485
COM,2004,1343.485485
COM,2005,1343.485485
COM,2006,1343.485485
COM,2007,1343.485485
COM,2008,1343.485485
COM,2009,1343.485485
COM,2010,1343.485485
COM,2011,1343.485485
COM,2012,1343.485485
COM,2013,1343.485485
COM,2014,1343.485485
COM,2015,1343.485485
COM,2016,1343.485485
COM,2017,1329.281467
COM,2018,1329.281467
COM,2019,1312.557978
CPV,2000,478.8282252
CPV,2001,478.8282252
CPV,2002,478.8282252
CPV,2003,478.8282252
CPV,2004,478.8282252
CPV,2005,478.8282252
CPV,2006,478.8282252
CPV,2007,478.8282252
CPV,2008,478.8282252
CPV,2009,478.8282252
CPV,2010,478.8282252
CPV,2011,478.8282252
CPV,2012,478.8282252
CPV,2013,478.8282252
CPV,2014,478.8282252
CPV,2015,478.8282252
CPV,2016,478.8282252
CPV,2017,499.6826241
CPV,2018,499.6826241
CPV,2019,454.0014184
CRI,2000,1155.592122
CRI,2001,1155.592122
CRI,2002,1155.592122
CRI,2003,1155.592122
CRI,2004,1155.592122
CRI,2005,1155.592122
CRI,2006,1155.592122
CRI,2007,1155.592122
CRI,2008,1155.592122
CRI,2009,1155.592122
CRI,2010,1155.592122
CRI,2011,1155.592122
CRI,2012,1155.592122
CRI,2013,1155.592122
CRI,2014,1155.592122
CRI,2015,1155.592122
CRI,2016,1155.592122
CRI,2017,1143.822868
CRI,2018,1143.822868
CRI,2019,1132.485902
CUB,2000,1183.810037
CUB,2001,1183.810037
CUB,2002,1183.810037
CUB,2003,1183.810037
CUB,2004,1183.810037
CUB,2005,1183.810037
CUB,2006,1183.810037
CUB,2007,1183.810037
CUB,2008,1183.810037
CUB,2009,1183.810037
CUB,2010,1183.810037
CUB,2011,1183.810037
CUB,2012,1183.810037
CUB,2013,1183.810037
CUB,2014,1183.810037
CUB,2015,1183.810037
CUB,2016,1183.810037
CUB,2017,1111.717972
CUB,2018,1111.717972
CUB,2019,1150.951418
CYM,2000,2026.576923
CYM,2001,2026.576923
CYM,2002,2026.576923
CYM,2003,2026.576923
CYM,2004,2026.576923
CYM,2005,2026.576923
CYM,2006,2026.576923
CYM,2007,2026.576923
CYM,2008,2026.576923
CYM,2009,2026.576923
CYM,2010,2026.576923
CYM,2011,2026.576923
CYM,2012,2026.576923
CYM,2013,2026.576923
CYM,2014,2026.576923
CYM,2015,2026.576923
CYM,2016,2026.576923
CYM,2017,2043.826772
CYM,2018,2043.826772
CYM,2019,2040.480315
CYP,2000,544.411345
CYP,2001,544.411345
CYP,2002,544.411345
CYP,2003,544.411345
CYP,2004,544.411345
CYP,2005,544.411345
CYP,2006,544.411345
CYP,2007,544.411345
CYP,2008,544.411345
CYP,2009,544.411345
CYP,2010,544.411345
CYP,2011,544.411345
CYP,2012,544.411345
CYP,2013,544.411345
CYP,2014,544.411345
CYP,2015,544.411345
CYP,2016,544.411345
CYP,2017,533.9974245
CYP,2018,533.9974245
CYP,2019,689.4529384
CZE,2000,403.3660066
CZE,2001,403.3660066
CZE,2002,403.3660066
CZE,2003,403.3660066
CZE,2004,403.3660066
CZE,2005,403.3660066
CZE,2006,403.3660066
CZE,2007,403.3660066
CZE,2008,403.3660066
CZE,2009,403.3660066
CZE,2010,403.3660066
CZE,2011,403.3660066
CZE,2012,403.3660066
CZE,2013,403.3660066
CZE,2014,403.3660066
CZE,2015,403.3660066
CZE,2016,403.3660066
CZE,2017,402.2033821
CZE,2018,402.2033821
CZE,2019,422.912801
DEU,2000,439.9705551
DEU,2001,439.9705551
DEU,2002,439.9705551
DEU,2003,439.9705551
DEU,2004,439.9705551
DEU,2005,439.9705551
DEU,2006,439.9705551
DEU,2007,439.9705551
DEU,2008,439.9705551
DEU,2009,439.9705551
DEU,2010,439.9705551
DEU,2011,439.9705551
DEU,2012,439.9705551
DEU,2013,439.9705551
DEU,2014,439.9705551
DEU,2015,439.9705551
DEU,2016,439.9705551
DEU,2017,432.415324
DEU,2018,432.415324
